marker_rank,gene,combined_score,expression,specificity,log2_fc_vs_others,z_score,gini_specificity,pct_total_expression,rank_among_types,is_top_expressed,max_other_expression,mean_other_expression
62,PRUNE2,0.0024380959,0.0046068775,0.6976239,1.7466695,1.2176573,0.564432346577643,32.405228,2,0,0.0066036694,0.0013727982
63,ATP10B,0.0023914713,0.002358187,1.7569207,2.8511193,2.1784213,0.6912254552186379,50.758327,1,1,0.0013422272,0.0003268178
64,NCAM2,0.0023822684,0.006445664,0.44714463,-0.073400505,-0.055185642,0.2778523901417844,11.954063,4,0,0.014415166,0.006782088
65,SLCO3A1,0.0023733198,0.003581726,0.9398663,1.1579263,1.1532387,0.32941146034914953,24.17156,3,0,0.0038108889,0.0016051726
66,C10orf90,0.0023413987,0.0040630717,0.77937675,2.0177736,1.383789,0.5983656672096396,36.6492,2,0,0.005213232,0.0010033306
67,FGFR2,0.00234118,0.002503306,1.5478129,2.4071612,2.0386937,0.6225054172479534,43.109303,1,1,0.001617318,0.00047193927
68,GLDN,0.0023111212,0.0022852484,1.7492322,2.6484158,2.042932,0.6735283765724098,47.24858,1,1,0.0013064293,0.00036448587
69,SHTN1,0.0023093394,0.004578078,0.65604836,1.4816681,1.0765032,0.5384472703390034,28.518291,2,0,0.006978263,0.0016392932
70,SEPTIN7,0.0022815147,0.004125364,0.73853993,0.9231046,1.009589,0.3372879951027931,21.314642,2,0,0.0055858376,0.0021756054
71,SIK3,0.002241081,0.0055453945,0.49800426,0.15356177,0.14261931,0.2804422695269572,13.71141,3,0,0.011135235,0.0049854657
72,NEAT1,0.0022303239,0.0061352476,0.4383926,-0.11059045,-0.09370854,0.1968025302348516,11.685396,5,0,0.01399487,0.006624043
73,AGPAT4,0.0022228064,0.0023357265,1.5899934,1.6978934,1.8319478,0.4599830738081483,31.669117,1,1,0.0014690164,0.00071995455
74,LANCL1,0.002172339,0.0025406925,1.3514179,2.0455801,1.8545243,0.550991768396238,37.097836,1,1,0.0018800197,0.00061541924
75,RFFL,0.0021558409,0.0021163947,1.7694215,1.8958324,2.123138,0.4391839762873304,34.709824,1,1,0.0011960941,0.0005687143
76,CLDND1,0.002123695,0.0026745596,1.212306,1.9787639,1.9221715,0.49919707826973636,36.023705,1,1,0.0022061754,0.00067855476
77,PHLPP1,0.0020912501,0.0044632377,0.5976759,0.9606124,0.82653064,0.42111274553504663,21.753927,2,0,0.0074676555,0.0022933844
78,ANLN,0.0020815511,0.002249951,1.5222566,3.1778586,2.1509597,0.7453966935085403,56.385292,1,1,0.0014780365,0.00024862346
79,FMN1,0.0020103124,0.0030372953,0.9384251,1.5085732,1.2788705,0.47932400366262,28.899979,2,0,0.0032365879,0.0010674836
80,FBXL7,0.0020081704,0.0035215747,0.76870537,0.9253498,0.8395952,0.35354961660230577,21.340755,3,0,0.004581176,0.001854295
81,PIEZO2,0.0019998176,0.0023838915,1.3137921,3.1064837,2.0224879,0.7521992813820442,55.165024,1,1,0.0018145118,0.00027678438
82,GNG7,0.0019971428,0.002265509,1.4146218,1.7219276,1.9841003,0.43226047940535106,32.030716,1,1,0.0016014944,0.000686774
83,LINC01170,0.0019879933,0.0025419851,1.1859778,2.1488662,1.7999799,0.6125453193762926,38.78332,1,1,0.0021433665,0.0005731915
84,LDB3,0.001979517,0.0015517635,2.5810509,4.1549993,2.4519682,0.8034914401228901,71.79098,1,1,0.0006012137,8.7105516e-05
85,PSEN1,0.0019712257,0.002342354,1.3199776,1.7650869,2.0113785,0.42006109411605475,32.68548,1,1,0.0017745405,0.0006891414
86,GSN,0.0019480858,0.0018953058,1.795044,2.0692368,2.1621618,0.4951938002561349,37.481285,1,1,0.0010558547,0.00045162384
87,ZNF536,0.0019158876,0.0032295913,0.8098231,1.9706752,1.4159855,0.5753181376684862,35.894592,2,0,0.0039880206,0.0008239771
88,MYO1E,0.0018674869,0.0019060076,1.6638962,2.3833055,2.1063561,0.6030302170504684,42.70424,1,1,0.0011455086,0.00036532388
89,CPEB2,0.0018534764,0.0019238328,1.6206675,1.6252608,2.1172926,0.363324724708749,30.589846,1,1,0.0011870619,0.0006236128
90,GTDC1,0.0018412968,0.002187209,1.3206508,1.1140648,1.7731267,0.28043086865598266,23.6187,1,1,0.0016561598,0.0010104697
91,SLC7A14-AS1,0.0018149534,0.0029559934,0.84779125,2.3231854,1.5256187,0.6105544356464978,41.687855,2,0,0.0034866997,0.00059068354
92,IGSF11,0.0018066023,0.0020312876,1.4336392,2.2282934,1.8728323,0.6150674773047531,40.09821,1,1,0.0014168749,0.00043349905
93,AK5,0.001781358,0.0029699733,0.82173485,1.932049,1.4532586,0.5355525286919416,35.28088,2,0,0.003614272,0.00077830127
94,BCAS1,0.0017745779,0.0029031402,0.84275466,1.5074831,1.0638794,0.4621425780387638,28.884455,3,0,0.0034448225,0.0010211047
95,CDK19,0.0017528387,0.0026241965,0.9502402,1.1870669,1.4498371,0.32114957997761545,24.543709,2,0,0.0027616138,0.0011525335
96,LRP2,0.0017522938,0.0013902284,2.5269587,4.0337462,2.446105,0.7922386211218095,70.058205,1,1,0.0005501586,8.4880325e-05
97,COL4A5,0.0017185304,0.002178226,1.2011034,2.370813,1.8677077,0.653712330788317,42.492504,1,1,0.0018135204,0.0004211308
98,ACTN2,0.0017158315,0.0008935886,5.822037,4.059253,2.588342,0.7353708352077539,70.42776,1,1,0.00015348374,5.3601863e-05
99,TJP1,0.0017130155,0.0039563174,0.54184896,0.5678527,0.49843976,0.3309267437401856,17.475365,3,0,0.007301513,0.0026690115
100,MOG,0.0016956195,0.0019448693,1.3913126,3.0701823,2.0751724,0.7383551111638713,54.54191,1,1,0.0013978664,0.00023156521
101,SCD,0.001694794,0.0019103407,1.4282442,2.5606167,2.0738542,0.6420969953781561,45.734753,1,1,0.0013375448,0.00032380852
102,HAPLN2,0.0016857677,0.0013616028,2.4489713,3.7107306,2.435657,0.7594798185760165,65.16212,1,1,0.00055598957,0.00010399414
103,CHN2,0.0016811324,0.0027160908,0.8569826,1.3707106,1.2936327,0.4315996662617675,26.976685,2,0,0.0031693652,0.0010503142
104,NCOA7,0.0016326819,0.0021828036,1.1127169,1.6400276,1.7213709,0.4515818505211193,30.807606,1,1,0.001961688,0.0007003531
105,ERBIN,0.0016131502,0.003441321,0.5980099,0.64034665,0.71374285,0.2860361946995741,18.211914,2,0,0.005754622,0.0022078096
106,SPP1,0.0016108849,0.0016559232,1.6453456,2.6603343,2.0620873,0.6766841078250598,47.454533,1,1,0.0010064287,0.0002619387
107,CDH20,0.0016068682,0.0043974896,0.44109872,0.52331907,0.3431322,0.35134118802869513,17.034658,4,0,0.0099694,0.0030596382
108,LINC00639,0.0015558094,0.0024450303,0.8895052,2.3808255,1.5745974,0.6257230597344705,42.66218,2,0,0.0027487532,0.00046944452
109,DOCK1,0.0015328415,0.0024729285,0.85864675,1.0016793,0.93146235,0.3474319826810311,22.24235,3,0,0.00288003,0.0012350257
110,USP54,0.0015082593,0.0021287217,1.0309999,1.6803422,1.5315157,0.5418543914849827,31.406445,1,1,0.0020647156,0.0006641794
111,NECAB1,0.00150532,0.0016432912,1.4993725,3.3193629,2.139468,0.7627398197719819,58.780468,1,1,0.0010959859,0.00016462148
112,PRR5L,0.0015047804,0.0016543906,1.483249,1.9751995,2.0306168,0.4937694802801962,35.966785,1,1,0.0011153829,0.00042076895
113,LRRC63,0.0015038763,0.0014061256,1.9139737,3.3874192,2.3173954,0.7376153159538885,59.918507,1,1,0.00073466287,0.00013437208
114,ALCAM,0.0014934955,0.003479071,0.53615105,0.6550108,0.52378994,0.3645149044456523,18.363804,3,0,0.006488975,0.0022094562
115,SELENOP,0.0014885298,0.0013575545,1.9936067,3.6608863,2.3372676,0.7712217595476432,64.373764,1,1,0.0006809539,0.00010732979
