marker_rank,gene,combined_score,expression,specificity,log2_fc_vs_others,z_score,gini_specificity,pct_total_expression,rank_among_types,is_top_expressed,max_other_expression,mean_other_expression
1133,SLC39A10,0.0,0.0,0.0,-22.107683,-1.0055106,0.06340728617663524,0.0,8,0,0.0012989205,0.00045193476
1134,SLC38A5,0.0,0.0,0.0,-13.931221,-0.37795404,0.546875,0.0,4,0,1.0934164e-05,1.5620234e-06
1135,CGNL1,0.0,0.0,0.0,-19.107903,-0.55703336,0.2871835513035461,0.0,6,0,0.00027383564,5.6500365e-05
1136,SLC37A2,0.0,0.0,0.0,-14.45935,-0.51225877,0.6047042956290268,0.0,3,0,1.1433216e-05,2.2525714e-06
1137,SHROOM4,0.0,0.0,0.0,-22.911272,-0.6243369,0.27746512337999296,0.0,6,0,0.002986949,0.000788824
1138,SH3TC2,0.0,0.0,0.0,-21.32984,-0.5863003,0.28392205356752553,0.0,6,0,0.0010138082,0.00026358545
1139,SGK1,0.0,0.0,0.0,-23.48657,-0.9142482,0.07119334693435497,0.0,8,0,0.0029513733,0.0011753367
1140,SH3BP2,0.0,0.0,0.0,-20.343754,-0.7180803,0.08460656551910897,0.0,8,0,0.00047999324,0.00013306986
1141,SH3TC1,0.0,0.0,0.0,-19.934652,-0.3779643,0.546875,0.0,4,0,0.0007014969,0.000100213845
1142,SH3PXD2B,0.0,0.0,0.0,-20.846079,-0.8773003,0.22183299690047237,0.0,6,0,0.0005754811,0.00018849279
1143,SH3RF2,0.0,0.0,0.0,-13.195265,-0.37794712,0.546875,0.0,4,0,6.564809e-06,9.378299e-07
1144,CLDN11,0.0,0.0,0.0,-22.353464,-0.65119195,0.08944698584852417,0.0,8,0,0.0018290998,0.0005358745
1145,SLC11A1,0.0,0.0,0.0,-20.391434,-0.40369558,0.10603707870480797,0.0,8,0,0.0009088004,0.0001375412
1146,SLC13A4,0.0,0.0,0.0,-15.41737,-0.5353554,0.49606636861788056,0.0,4,0,2.0671407e-05,4.376034e-06
1147,SLC15A3,0.0,0.0,0.0,-18.06448,-0.37974837,0.5462314177684663,0.0,4,0,0.00019109718,2.741251e-05
1148,CCDC200,0.0,0.0,0.0,-18.905428,-0.45673737,0.3072675659980363,0.0,6,0,0.00028985506,4.9102084e-05
1149,SINHCAF,0.0,0.0,0.0,-18.628057,-0.5392643,0.19351133947955007,0.0,7,0,0.00020358305,4.0513794e-05
1150,SIRPA,0.0,0.0,0.0,-20.868168,-0.97181386,0.06813237572034175,0.0,8,0,0.00053043343,0.0001914011
1151,CCDC158,0.0,0.0,0.0,-17.067947,-1.0131618,0.19198831771546493,0.0,6,0,2.5353684e-05,1.3739184e-05
1152,CCDC136,0.0,0.0,0.0,-19.319569,-0.86902755,0.21754754476940877,0.0,6,0,0.00020983985,6.5428765e-05
1153,CD14,0.0,0.0,0.0,-19.495832,-0.38932326,0.3249352355473484,0.0,6,0,0.00050423556,7.3931566e-05
1154,SKAP2,0.0,0.0,0.0,-22.569334,-0.48020202,0.09642122834441325,0.0,8,0,0.0035318767,0.0006223669
1155,SLA,0.0,0.0,0.0,-21.192596,-0.49412122,0.20371452608103313,0.0,7,0,0.0012801236,0.00023966639
1156,SLA2,0.0,0.0,0.0,-20.277216,-0.41575363,0.42293478211874136,0.0,5,0,0.0008176366,0.00012707194
1157,WNT9B,0.0,0.0,0.0,-17.78178,-0.49454427,0.5095085129771504,0.0,4,0,0.000120018194,2.253447e-05
1158,SHF,0.0,0.0,0.0,-18.605202,-0.88431674,0.22510344955819403,0.0,6,0,0.000116327,3.9877003e-05
1159,CDH1,0.0,0.0,0.0,-19.267927,-0.5581362,0.29112061997281513,0.0,6,0,0.00028894594,6.31282e-05
1160,CDH19,0.0,0.0,0.0,-21.088816,-0.5343772,0.2971591003004579,0.0,6,0,0.0010742331,0.00022303135
1161,CD109,0.0,0.0,0.0,-18.319803,-0.47051024,0.2994761201718326,0.0,6,0,0.00018857986,3.2719683e-05
1162,CD83,0.0,0.0,0.0,-18.677187,-0.4668128,0.20478221499216415,0.0,7,0,0.00024198597,4.191721e-05
1163,CD84,0.0,0.0,0.0,-18.846884,-0.38415238,0.2176963507138105,0.0,7,0,0.00032537532,4.71494e-05
1164,CD86,0.0,0.0,0.0,-21.073647,-0.38025725,0.5460487156951914,0.0,4,0,0.0015367201,0.00022069854
1165,CD96,0.0,0.0,0.0,-22.687933,-0.41231537,0.2116136583092903,0.0,7,0,0.0043805954,0.0006756913
1166,CLMP,0.0,0.0,0.0,-18.688822,-1.0178605,0.06653053820391464,0.0,8,0,8.734666e-05,4.2256615e-05
1167,CLSTN2,0.0,0.0,0.0,-21.73043,-0.85795313,0.22075979749533187,0.0,6,0,0.0011269696,0.00034794566
1168,CLTRN,0.0,0.0,0.0,-16.590832,-0.90401065,0.21833888483243716,0.0,6,0,2.8813463e-05,9.870375e-06
1169,CLU,0.0,0.0,0.0,-22.79475,-0.4829987,0.09561675584901602,0.0,8,0,0.0041103205,0.00072761765
1170,SH3TC2-DT,0.0,0.0,0.0,-20.686415,-0.57027,0.28879185254420564,0.0,6,0,0.00070414913,0.0001687451
1171,RHOH,0.0,0.0,0.0,-22.03237,-0.46497414,0.2069949830974624,0.0,7,0,0.002464729,0.00042894762
1172,RHBDL3,0.0,0.0,0.0,-20.66235,-0.59762716,0.28290341266271374,0.0,6,0,0.00069508917,0.00016595374
1173,RHBDF2,0.0,0.0,0.0,-21.238625,-0.49820063,0.20311531698350194,0.0,7,0,0.0013091093,0.0002474361
1174,RAB20,0.0,0.0,0.0,-20.651745,-0.4152409,0.21159812660115684,0.0,7,0,0.0010611573,0.00016473816
1175,RAB11FIP1,0.0,0.0,0.0,-19.589407,-0.38723058,0.32506918056001627,0.0,6,0,0.0005406014,7.888575e-05
1176,QDPR,0.0,0.0,0.0,-22.865747,-0.7920607,0.0782035179191661,0.0,8,0,0.0025025855,0.0007643212
1177,PYHIN1,0.0,0.0,0.0,-20.896715,-0.38435146,0.3258712885947026,0.0,6,0,0.0013466745,0.00019522608
1178,CST7,0.0,0.0,0.0,-20.40394,-0.3860685,0.5437958673028098,0.0,4,0,0.0009532086,0.00013873876
1179,DLX6-AS1,0.0,0.0,0.0,-11.492626,-0.37790784,0.546875,0.0,4,0,2.016381e-06,2.8805442e-07
1180,DLGAP1-AS1,0.0,0.0,0.0,-18.158722,-0.7421278,0.08058291707671617,0.0,8,0,0.000109361186,2.9262972e-05
1181,DIXDC1,0.0,0.0,0.0,-21.38311,-0.9704148,0.2088410830919239,0.0,6,0,0.0006794836,0.0002735001
1182,DIRC3-AS1,0.0,0.0,0.0,-21.98122,-0.58690673,0.08900820669242304,0.0,8,0,0.001955381,0.00041400615
1183,DNAJC30,0.0,0.0,0.0,-19.128704,-0.8520363,0.14688129041660813,0.0,7,0,0.00016318538,5.7320918e-05
1184,DNAH5,0.0,0.0,0.0,-19.077845,-0.59639806,0.2815243720259788,0.0,6,0,0.00021154985,5.533535e-05
1185,DNAH17-AS1,0.0,0.0,0.0,-17.089693,-0.5753869,0.5692082835773957,0.0,3,0,5.231054e-05,1.3947838e-05
1186,DNAH12,0.0,0.0,0.0,-19.292,-1.0766202,0.19329532359348958,0.0,6,0,0.00013557315,6.419038e-05
1187,RAPGEF3,0.0,0.0,0.0,-20.133184,-0.8532136,0.22884911357005666,0.0,6,0,0.00029660578,0.00011499853
1188,ALPL,0.0,0.0,0.0,-16.65258,-0.5227244,0.1999914952284097,0.0,7,0,5.1187555e-05,1.03020075e-05
1189,CYP2J2,0.0,0.0,0.0,-20.599855,-0.8719389,0.22840251345870816,0.0,6,0,0.0004469823,0.0001589183
1190,DAPK1-IT1,0.0,0.0,0.0,-12.409242,-0.37793446,0.546875,0.0,4,0,3.8069072e-06,5.438439e-07
1191,AMDHD1,0.0,0.0,0.0,-17.425047,-0.7172671,0.2533876106057611,0.0,6,0,6.577649e-05,1.7597844e-05
1192,CPEB1-AS1,0.0,0.0,0.0,-19.882236,-0.8386381,0.23258631203311217,0.0,6,0,0.00029806778,9.663832e-05
1193,CPB1,0.0,0.0,0.0,-18.929749,-0.5863346,0.2833095220646059,0.0,6,0,0.00018963062,4.9936876e-05
1194,CRB2,0.0,0.0,0.0,-19.044176,-0.51772165,0.30121312546887025,0.0,6,0,0.00027065276,5.4058968e-05
1195,AMER1,0.0,0.0,0.0,-16.906174,-0.6038418,0.1885796576413311,0.0,7,0,4.99683e-05,1.2281794e-05
1196,RGS10,0.0,0.0,0.0,-21.19797,-0.37980956,0.21842738280028556,0.0,7,0,0.0016767585,0.00024056066
1197,RFX4,0.0,0.0,0.0,-22.596104,-0.42729017,0.10443576381887251,0.0,8,0,0.003979964,0.0006340231
1198,RFX2,0.0,0.0,0.0,-21.622337,-0.6042707,0.27905843503965644,0.0,6,0,0.001313557,0.0003228287
1199,AMER2,0.0,0.0,0.0,-22.207035,-0.8214701,0.22846778866172712,0.0,6,0,0.0016339975,0.00048415392
1200,AMPD3,0.0,0.0,0.0,-21.371773,-0.68070996,0.084612428959002,0.0,8,0,0.0010995761,0.00027135902
1201,RGS3,0.0,0.0,0.0,-19.66011,-1.038546,0.13284747349844467,0.0,7,0,0.00020390935,8.2848106e-05
1202,RGS22,0.0,0.0,0.0,-20.001177,-0.7071964,0.1738708764660037,0.0,7,0,0.00033548952,0.00010494312
1203,RGS18,0.0,0.0,0.0,-20.00258,-0.5706639,0.4791371127830227,0.0,4,0,0.00041654042,0.000105045256
1204,RGS16,0.0,0.0,0.0,-17.039854,-0.4081321,0.3189520663635576,0.0,6,0,8.814091e-05,1.3474223e-05
1205,CR1,0.0,0.0,0.0,-15.338246,-0.42794877,0.31625718098282035,0.0,6,0,2.593475e-05,4.1424937e-06
1206,PSMB9,0.0,0.0,0.0,-19.961945,-0.43430305,0.30702808479836996,0.0,6,0,0.00063281716,0.000102127684
1207,PSAT1,0.0,0.0,0.0,-21.38238,-1.1051238,0.18871563121897222,0.0,6,0,0.00055486814,0.00027336148
1208,PTGDR,0.0,0.0,0.0,-21.48023,-0.3785629,0.5466586918724741,0.0,4,0,0.0020449834,0.00029254542
1209,PTCHD1,0.0,0.0,0.0,-20.22478,-0.5104586,0.1949849476799217,0.0,7,0,0.0006536681,0.0001225363
1210,DPYSL3,0.0,0.0,0.0,-20.925514,-0.57838714,0.28692527586764877,0.0,6,0,0.00084822986,0.00019916233
1211,DPF3,0.0,0.0,0.0,-22.274427,-0.9471725,0.06968876664270804,0.0,8,0,0.0013915997,0.00050730706
1212,EDA2R,0.0,0.0,0.0,-19.440283,-0.42677242,0.3150235954943811,0.0,6,0,0.0004467783,7.113894e-05
1213,DMGDH,0.0,0.0,0.0,-20.581638,-0.86790484,0.2282437310419211,0.0,6,0,0.00046313746,0.00015692429
1214,DYRK3,0.0,0.0,0.0,-17.387936,-0.54372144,0.2723672120731935,0.0,6,0,8.718396e-05,1.715094e-05
1215,DYNLRB2,0.0,0.0,0.0,-16.551624,-0.9103647,0.21962472869426225,0.0,6,0,2.4494138e-05,9.605738e-06
1216,DUSP28,0.0,0.0,0.0,-16.83233,-0.66528445,0.2699144548180303,0.0,6,0,4.113556e-05,1.1668977e-05
1217,EGF,0.0,0.0,0.0,-17.07095,-0.4134617,0.5346904899953426,0.0,4,0,8.8859284e-05,1.3767807e-05
1218,EFEMP1,0.0,0.0,0.0,-21.917177,-0.39538383,0.3229324763558981,0.0,6,0,0.0026645446,0.00039602965
1219,EEF1AKMT3,0.0,0.0,0.0,-18.03525,-0.636509,0.27234198731760084,0.0,6,0,0.00011237086,2.6862695e-05
1220,EDNRB,0.0,0.0,0.0,-20.681032,-0.4736473,0.20434088768127884,0.0,7,0,0.00095410115,0.00016811656
1221,EDARADD,0.0,0.0,0.0,-19.237572,-0.42716295,0.3135094878893915,0.0,6,0,0.00038819876,6.1813764e-05
1222,DYSF,0.0,0.0,0.0,-20.139471,-0.58121485,0.09376340794009369,0.0,8,0,0.00053645653,0.00011550065
1223,CXCR4,0.0,0.0,0.0,-21.842274,-0.37896562,0.5463953162677094,0.0,4,0,0.0026258635,0.00037599294
1224,CXCL14,0.0,0.0,0.0,-17.592525,-0.40308088,0.5381318004359263,0.0,4,0,0.00013060687,1.976405e-05
1225,CX3CR1,0.0,0.0,0.0,-20.940882,-0.4366325,0.31505307762913165,0.0,6,0,0.0012352552,0.00020129525
1226,CTXND1,0.0,0.0,0.0,-21.043194,-0.55135274,0.19605927685005436,0.0,7,0,0.000988162,0.00021608883
1227,CYP27A1,0.0,0.0,0.0,-21.666304,-1.2252848,0.05629336314051403,0.0,8,0,0.0007597199,0.00033281828
1228,CYP21A2,0.0,0.0,0.0,-16.211258,-0.5938418,0.28353162684839706,0.0,6,0,2.960919e-05,7.586984e-06
1229,CYP1B1,0.0,0.0,0.0,-14.963201,-0.5340405,0.19358355988789233,0.0,7,0,1.6203252e-05,3.1941738e-06
1230,RALY-AS1,0.0,0.0,0.0,-17.486298,-0.5851247,0.4760362543030423,0.0,4,0,7.346899e-05,1.8361068e-05
1231,ALDH1A1,0.0,0.0,0.0,-21.919724,-0.3782622,0.5467673564853086,0.0,4,0,0.002775189,0.00039672895
1232,RASL10A,0.0,0.0,0.0,-17.36335,-0.42314273,0.31317621509503357,0.0,6,0,0.00010685898,1.6861133e-05
1233,RASGEF1C,0.0,0.0,0.0,-22.94611,-0.4503093,0.10010008456917352,0.0,8,0,0.0048518283,0.00080810394
1234,RASAL1,0.0,0.0,0.0,-17.83009,-0.44911623,0.518551375960944,0.0,4,0,0.000139528,2.3301836e-05
1235,RASA4B,0.0,0.0,0.0,-19.505276,-0.7137042,0.08412633926633434,0.0,8,0,0.00027943787,7.441709e-05
1236,RCOR2,0.0,0.0,0.0,-16.140198,-0.7630534,0.2448618516828951,0.0,6,0,1.9874875e-05,7.222337e-06
1237,RBM47,0.0,0.0,0.0,-21.726635,-0.3884485,0.21705599868020525,0.0,7,0,0.0023714143,0.0003470313
1238,RBM38,0.0,0.0,0.0,-19.888863,-0.951616,0.06636841507631458,0.0,8,0,0.00024488353,9.708312e-05
1239,RASSF9,0.0,0.0,0.0,-16.537395,-0.39400902,0.5412153804345718,0.0,4,0,6.416862e-05,9.511466e-06
1240,RAB3IL1,0.0,0.0,0.0,-17.072027,-0.76788473,0.2476311058152457,0.0,6,0,4.6279194e-05,1.3778086e-05
1241,CT69,0.0,0.0,0.0,-18.885971,-0.70556986,0.2592952779367402,0.0,6,0,0.00015830918,4.8444293e-05
1242,WNT7A,0.0,0.0,0.0,-15.369163,-0.4515348,0.5226596410655325,0.0,4,0,2.5034238e-05,4.232223e-06
1243,CSRP1,0.0,0.0,0.0,-21.641811,-0.965605,0.06853553331645856,0.0,8,0,0.00080584537,0.0003272157
1244,CSGALNACT1,0.0,0.0,0.0,-23.52562,-0.82435304,0.07840811124797939,0.0,8,0,0.003380369,0.0012075825
1245,CSF3R,0.0,0.0,0.0,-20.541765,-0.3781951,0.546791510577863,0.0,4,0,0.0010679552,0.00015264653
1246,CNTN3,0.0,0.0,0.0,-21.995811,-0.5940227,0.28225715945990404,0.0,6,0,0.0018712145,0.00041821416
1247,CNTN2,0.0,0.0,0.0,-22.55735,-0.59375525,0.27958583815341387,0.0,6,0,0.0022479843,0.00061721884
1248,CYP3A5,0.0,0.0,0.0,-16.939468,-0.9642028,0.2060927145005433,0.0,6,0,2.5676793e-05,1.2568531e-05
1249,CNDP1,0.0,0.0,0.0,-22.93865,-0.57662547,0.2860452345020468,0.0,6,0,0.003177312,0.0008039362
1250,CNBD1,0.0,0.0,0.0,-18.2004,-0.8122362,0.23815936459004167,0.0,6,0,9.3850256e-05,3.0120658e-05
