marker_rank,gene,combined_score,expression,specificity,log2_fc_vs_others,z_score,gini_specificity,pct_total_expression,rank_among_types,is_top_expressed,max_other_expression,mean_other_expression
110,FNBP1,0.0013292589,0.002749718,0.62160504,0.47012523,0.5088636,0.2666285760411485,16.519878,3,0,0.0044235773,0.0019850268
111,NT5DC1,0.0013277505,0.0017232207,1.1608576,1.3245113,1.6241101,0.38640182531214706,26.350525,1,1,0.0014844376,0.0006880551
112,CLDND1,0.001327039,0.0022061754,0.8248743,1.5653312,1.406676,0.43679744348601934,29.715025,2,0,0.0026745596,0.00074546685
113,LINC01170,0.0013106592,0.0021433665,0.8431861,1.7661407,1.3834779,0.5359771544542561,32.701557,2,0,0.0025419851,0.00063013704
114,CDH19,0.0012837976,0.0010742331,2.3038316,3.9487066,2.4071474,0.7924242674678876,68.807304,1,1,0.000466281,6.956948e-05
115,ARFGEF3,0.0012606969,0.0017038346,1.0957624,1.6852254,1.504988,0.5355273552032522,31.479406,1,1,0.0015549306,0.0005298147
116,NCOA7,0.0012577756,0.001961688,0.89870113,1.422296,1.4279402,0.3951341192059794,27.68683,2,0,0.0021828036,0.000731941
117,NEAT1,0.0012461885,0.0044838437,0.32039195,-0.6134638,-0.45553255,0.1476018976761387,8.540077,6,0,0.01399487,0.006859958
118,CA2,0.0012366528,0.0014508629,1.3451674,2.0479696,1.9121525,0.5583519070672354,37.136494,1,1,0.0010785741,0.00035085366
119,JAM3,0.001203427,0.0015218812,1.2050487,1.8659265,1.7872355,0.5314376243243815,34.24155,1,1,0.0012629208,0.0004175234
120,STARD13,0.0011738866,0.0019700914,0.8145797,0.7452653,0.83367753,0.2769924586267594,19.320288,3,0,0.0024185372,0.0011752739
121,FA2H,0.0011578179,0.0016993246,0.97652453,2.328085,1.6598756,0.5987489768639429,41.77043,2,0,0.0017401759,0.00033841757
122,LINC00320,0.0011541696,0.0011052545,1.8412861,2.28242,2.0978389,0.5626194896714316,41.00262,1,1,0.00060026214,0.00022718795
123,SHROOM4,0.0011445237,0.002127833,0.7123768,2.1337807,1.3003868,0.6474186212199836,38.535355,2,0,0.002986949,0.00048484778
124,FOXN2,0.0011439323,0.0013112482,1.3926452,1.1757278,2.014423,0.25671334635041543,24.39844,1,1,0.00094155205,0.00058043754
125,LMCD1-AS1,0.0011071747,0.002799111,0.48519355,0.21577854,0.18590961,0.258929918755595,14.2296715,4,0,0.0057690605,0.0024102621
126,TCF4,0.0011066935,0.0027232708,0.5013789,0.2142659,0.16548946,0.3448602957833795,14.216879,3,0,0.0054315627,0.0023474176
127,RAPGEF5,0.0011050031,0.0025585298,0.5401655,1.2112783,0.7874629,0.5562331475008084,24.855835,2,0,0.004736567,0.0011049925
128,COL4A5,0.0010984822,0.0018135204,0.8325677,1.9381746,1.4246627,0.5719982894397774,35.377884,2,0,0.002178226,0.00047323157
129,ASPA,0.0010881209,0.0013376881,1.2556405,2.9441843,1.9766647,0.7374146403968835,52.3693,1,1,0.001065343,0.00017380684
130,MEGF10,0.0010728077,0.0016670037,0.9032338,1.4956614,1.1686655,0.43548359729544656,28.71643,3,0,0.0018455947,0.00059114984
131,FMN1,0.0010661688,0.0021178836,0.6543569,0.8209984,0.59668297,0.41084914599653144,20.151741,3,0,0.0032365879,0.0011988281
132,KANK1,0.0010414587,0.001805362,0.78045636,1.3423003,1.234364,0.43617251583286776,26.590517,2,0,0.0023132132,0.00071201904
133,LANCL1,0.0010412754,0.0018800197,0.7399635,1.405261,1.127216,0.48211779734670823,27.451044,2,0,0.0025406925,0.00070980104
134,YPEL2,0.0010320857,0.001272915,1.249718,2.1472244,1.9888391,0.5113677845186397,38.75631,1,1,0.0010185618,0.00028735606
135,PIEZO2,0.0010269594,0.0018145118,0.76115537,2.341049,1.3979005,0.6581743712092887,41.989155,2,0,0.0023838915,0.00035812432
136,LINC01630,0.0010193019,0.0012275452,1.2941399,2.874467,2.010237,0.7092193271911396,51.16276,1,1,0.0009485412,0.00016739269
137,RHOBTB1,0.0010160157,0.000827051,2.416033,3.131491,2.4107456,0.6753785141906781,55.59336,1,1,0.00034231768,9.437547e-05
138,KIF13B,0.0010049845,0.0015471395,0.9147286,1.1151464,1.1325653,0.3191343276732546,23.632223,3,0,0.0016913645,0.0007142281
139,PSEN1,0.0010007392,0.0017745405,0.7575885,1.2040324,1.2218592,0.3675534573515479,24.762144,2,0,0.002342354,0.00077025767
140,CLDN11,0.0009832234,0.0015795184,0.86354953,2.348079,1.5424341,0.6261289009396692,42.1079,2,0,0.0018290998,0.000310229
141,FOLH1,0.0009806999,0.0014831476,0.93717116,2.688648,1.6557162,0.6553735957660028,47.944134,2,0,0.0015825791,0.00023004909
142,SLC22A15,0.00097432756,0.0013755601,1.0305635,1.3870403,1.4354333,0.4573244342377818,27.20024,1,1,0.0013347649,0.0005259431
143,CNTNAP4,0.00096032897,0.0025895764,0.4489571,1.070243,0.61266863,0.5906752801357548,23.075123,2,0,0.005767982,0.0012332567
144,MT-ND4,0.0009521751,0.0057104314,0.18145074,-0.48701784,-0.21929929,0.3055194213162936,9.249998,4,0,0.031470973,0.008003426
145,GAB2,0.0009497077,0.0024173334,0.48123187,0.5971381,0.49260834,0.38045363957405187,17.770046,2,0,0.0050232196,0.0015980119
146,PLLP,0.0009282443,0.0011298923,1.2739842,2.5030339,1.8899035,0.6814748186321733,44.746,1,1,0.0008868965,0.00019931895
147,KLHL4,0.0009251556,0.0013300333,1.0048882,2.3636286,1.7024481,0.6801901890715882,42.37086,1,1,0.0013235634,0.00025842784
148,GTDC1,0.00092132535,0.001643772,0.75153863,0.5951943,0.83728874,0.210323151491987,17.750364,3,0,0.002187209,0.0010881035
149,COLGALT2,0.0009199865,0.0015122758,0.8373894,1.2686218,1.1999285,0.42666501117298533,25.605621,2,0,0.0018059408,0.00062767917
