de_rank,gene,log2_fold_change,p_value,p_adjusted,neg_log10_pval,neg_log10_padj,regulation,mean_expr_this,mean_expr_other,pct_expressing_this,pct_expressing_other,pct_diff,cohens_d,is_significant,is_upregulated,is_downregulated
15,TBX3,4.00432755040394,3.557339990073183e-237,9.627051348135552e-235,236.44887462546464,234.01650671176722,UP,4.00432755040394,0.0,53.333333333333336,0.0,53.333333333333336,12.817332163408965,1,1,0
16,EBF1,8.963941493801324,1.0784919284481062e-96,7.075560682091364e-95,95.96718310085681,94.15023914004531,UP,9.16529648317068,0.2013549893693571,100.0,2.8203859475507174,97.17961405244928,7.573865076468156,1,1,0
17,COBLL1,7.37973955753996,2.3012168626385977e-116,1.6607115025375213e-114,115.63804245225298,113.77970580628326,UP,7.483735481303333,0.10399592376337329,86.66666666666667,1.533894111825829,85.13277255484084,8.490507109136095,1,1,0
18,C1QTNF1,4.836170378687148,5.070212156459995e-174,6.457064305138758e-172,173.29497386779641,171.18996488848532,UP,4.861219003356676,0.025048624669527987,66.66666666666666,0.34636318654131615,66.32030348012535,9.418192475784913,1,1,0
19,PTH1R,6.695322739583217,1.116413475522081e-116,8.334604050018295e-115,115.95217493005732,114.0791150272669,UP,6.7856438842810975,0.09032114469788075,80.0,1.2370113805047007,78.7629886194953,7.813216073727863,1,1,0
20,IFITM1,4.5050600494625375,5.294904455369499e-171,6.033404287302614e-169,170.27614187217222,168.21943757243565,UP,4.5248165050895715,0.019756455627034344,60.0,0.24740227610094012,59.75259772389906,8.967553104778691,1,1,0
21,MYL9,4.043266397780733,6.310110022528669e-190,9.10759213251638e-188,189.1999630683691,187.0405964267354,UP,4.0502758053262,0.007009407545466415,53.333333333333336,0.09896091044037605,53.23437242289296,10.486118298761609,1,1,0
22,IGFBP7,6.655089719201753,5.631867168699058e-111,3.8103101313229563e-109,110.24934759686688,108.41903967449741,UP,6.752582739715416,0.09749302051366328,80.0,1.3359722909450766,78.66402770905492,7.526747919401406,1,1,0
23,SLC30A10,7.672011418175161,1.8722812233455214e-93,1.158139671012301e-91,92.72762891811169,90.93623906177258,UP,7.8482768719377844,0.17626545376262398,93.33333333333333,2.4740227610094014,90.85931057232392,6.837755093118154,1,1,0
24,CFH,4.016194367136029,2.1030111253311688e-172,2.529455047967767e-170,171.67715842980672,169.59697303422064,UP,4.027630178136303,0.011435811000274866,53.333333333333336,0.14844136566056407,53.18489196767277,9.252301736189413,1,1,0
25,PHLDB2,5.017707106058392,1.5644051382214229e-134,1.411223801770575e-132,133.805650766296,131.85040410731824,UP,5.061364368992518,0.0436572629341253,66.66666666666666,0.5937654626422563,66.0729012040244,7.859411388657473,1,1,0
26,MUSTN1,5.753566923659434,3.6797071314120077e-116,2.569859980486128e-114,115.43418674553114,113.59009053867602,UP,5.8256438105753166,0.07207688691588338,73.33333333333333,0.9896091044037605,72.34372422892957,7.391112191992356,1,1,0
27,LAMC3,4.91756222654781,1.6625756165242637e-134,1.4397904839100123e-132,133.77921859318732,131.84170070116997,UP,4.9605020173482925,0.04293979080048227,66.66666666666666,0.5937654626422563,66.0729012040244,7.823301620876211,1,1,0
28,RIPOR3,5.116889927564122,2.2672646037307002e-119,1.7530813810989162e-117,118.6444977920772,116.75619792273004,UP,5.168890872385615,0.05200094482149276,66.66666666666666,0.7422068283028204,65.92445983836383,7.603653466681032,1,1,0
29,ADGRF5,4.157332310092799,4.035105117425349e-146,3.9709102632844914e-144,145.39414514710717,143.40110992724001,UP,4.175369551904416,0.018037241811617512,53.333333333333336,0.24740227610094012,53.08593105723239,8.54314866149349,1,1,0
30,MSC-AS1,3.8386469308767808,1.318365587392091e-157,1.3591721412875607e-155,156.8799641416609,154.86672553570543,UP,3.854522902759114,0.015875971882332966,53.333333333333336,0.1979218208807521,53.135411512452585,8.223738477894791,1,1,0
31,LINC02172,4.487672599178788,3.4554849972363467e-133,2.877355776544881e-131,132.4614909882779,130.54100643555932,UP,4.520282578848152,0.0326099796693639,60.0,0.4453240969816922,59.55467590301831,7.7921589439600885,1,1,0
32,COLEC12,7.760255771623899,2.42634538468816e-71,1.2507232756785398e-69,70.6150473782478,68.90283876795631,UP,7.985239631021203,0.22498385939730478,86.66666666666667,2.9688273132112815,83.6978393534554,5.907031540918261,1,1,0
33,HEYL,3.350814455678889,2.447493082929879e-161,2.649411262271594e-159,160.61127852691996,158.57685062189458,UP,3.358357089594412,0.007542633915523161,46.666666666666664,0.09896091044037605,46.56770575622629,8.759391306133026,1,1,0
34,GNG11,2.985246534390875,3.1799178727394706e-178,4.302826371550596e-176,177.49758409632898,175.3662461782955,UP,2.985246534390875,0.0,40.0,0.0,40.0,9.798628945096674,1,1,0
35,NID1,6.881024017540998,1.000903045191577e-77,5.856635386053417e-76,76.9996079894314,75.232351812809,UP,7.096261501271453,0.21523748373045473,93.33333333333333,3.067788223651658,90.26554510968167,5.633707303570622,1,1,0
36,ITGA1,6.1500551096047165,8.314536288716492e-83,5.000269740297557e-81,82.08016196687349,80.30100656695139,UP,6.289714948376923,0.13965983877220609,80.0,1.979218208807521,78.02078179119248,6.024940561561456,1,1,0
37,HIC1,3.575777036211821,6.05117529648111e-132,4.852146117363557e-130,131.21816026580964,129.31406612927924,UP,3.5912422772762316,0.015465241064410643,46.666666666666664,0.1979218208807521,46.46874484578591,7.539572569137432,1,1,0
38,TRPC3,7.49830735508018,4.855371021542307e-63,2.1899746378414784e-61,62.313777578021295,60.6595609147075,UP,7.778745624411887,0.2804382693317072,93.33333333333333,4.156358238495795,89.17697509483753,5.524848219685862,1,1,0
39,A2M,5.708205365448748,1.2602077731474909e-72,6.99576879195979e-71,71.89955784592019,70.1551645522573,UP,5.842759174338426,0.13455380888967847,73.33333333333333,1.929737753587333,71.403595579746,5.685016081921005,1,1,0
40,S1PR3,4.243534088458467,1.549241574053389e-95,9.8650235524282e-94,94.80988085719349,93.00590187354636,UP,4.300129888601507,0.056595800143040616,60.0,0.7916872835230084,59.20831271647699,6.078629301841153,1,1,0
41,LAMA2,9.04418138524415,6.465720702162711e-44,2.257787954868108e-42,43.18938305941041,41.64631684821928,UP,9.634107056896454,0.5899256716523043,100.0,7.52102919346858,92.47897080653142,4.3560267744952474,1,1,0
42,GRM8,7.952173961995805,3.532685311307938e-47,1.3657613748181581e-45,46.4518950474362,44.86462517375302,UP,8.377707626902035,0.4255336649062306,93.33333333333333,5.8386937159821874,87.49463961735114,4.618282376067846,1,1,0
43,BGN,5.963807541507849,3.4647534162871196e-62,1.530855335971758e-60,61.46032766834121,59.81506584768034,UP,6.158326316456608,0.19451877494875858,80.0,2.8698664027709055,77.13013359722909,5.134036226986657,1,1,0
44,RGS5,7.598964473632393,9.38633221409994e-46,3.386901540587728e-44,45.0275040786983,43.47019742839256,UP,8.043363514495574,0.4443990408631809,93.33333333333333,6.135576447303316,87.19775688603,4.3489770857078645,1,1,0
45,RNF152,7.624385181359443,2.488115126480675e-43,8.416826951297907e-42,42.60412952846734,41.07485160176184,UP,8.15145453095281,0.5270693495933672,100.0,7.422068283028203,92.57793171697179,4.089920197385079,1,1,0
46,SNTB1,5.736659758271629,4.508984287460413e-56,1.8772982658368833e-54,55.345921278084674,53.72646672103009,UP,5.936630531514452,0.19997077324282303,73.33333333333333,2.6224641266699655,70.71086920666336,4.562758607579854,1,1,0
47,ABCC9,4.3876833903120085,2.346907005168706e-72,1.2702634165475622e-70,71.62950411872788,69.89610620936645,UP,4.475121491934255,0.08743810162224605,60.0,1.1875309252845125,58.81246907471549,5.142528602670567,1,1,0
48,LZTS1,4.520329917300311,5.164723163301951e-69,2.4307881844671138e-67,68.28695295233845,66.61425288333065,UP,4.6099296977692985,0.08959978046898787,60.0,1.2864918357248887,58.71350816427511,5.342109127319968,1,1,0
49,ATP1A2,9.055951446713209,1.11588724330274e-34,3.264724164527611e-33,33.95237968719543,32.486153506237024,UP,9.798252941371329,0.7423014946581195,100.0,10.341415141019297,89.6585848589807,4.132746470879042,1,1,0
50,PALD1,6.584292187035263,5.433589414829194e-46,1.9938510310347803e-44,45.264913181820035,43.7003072927728,UP,6.938467981578991,0.35417579454372705,86.66666666666667,4.8490846115784265,81.81758205508825,4.14141359750184,1,1,0
51,TGFBR2,3.8852756849503507,5.125565031746223e-75,2.920223235192256e-73,74.29025825190277,72.5345839478302,UP,3.95259204456639,0.06731635961603913,53.333333333333336,0.8411677387431964,52.49216559459014,4.878600757917669,1,1,0
52,KANK2,3.9161191415286303,2.1096022910159117e-70,1.0149531022332108e-68,69.67579941157307,67.99355402465902,UP,3.9812597678598483,0.06514062633121791,53.333333333333336,0.9401286491835725,52.393204684149765,5.313586473369127,1,1,0
53,PRELP,5.052320773268415,1.457202411035022e-51,5.842302259057079e-50,50.8364801188614,49.23341597799499,UP,5.222240019720584,0.16991924645216844,66.66666666666666,2.375061850569025,64.29160481609763,4.466875991525627,1,1,0
54,SLC19A1,8.19114691468559,1.7876550292571638e-32,4.837841422927199e-31,31.74771628494987,30.31534837125243,UP,8.993373934886469,0.8022270202008792,100.0,11.133102424542306,88.8668975754577,3.612745646558553,1,1,0
55,MIR4435-2HG,5.38195464216936,5.025453764796124e-47,1.9087907720672996e-45,46.298824718255766,44.719241673238876,UP,5.618810305092129,0.23685566292276983,73.33333333333333,3.2162295893122215,70.11710374402111,4.041047100628865,1,1,0
56,SLC6A13,5.494769750062132,1.4195320016348579e-43,4.878232989745186e-42,42.84785481238309,41.31173746114729,UP,5.753909070712121,0.25913932064998835,73.33333333333333,3.612073231073726,69.7212601022596,4.013710835901802,1,1,0
57,FN1,6.028691102700216,5.601931970882359e-38,1.7325975309943295e-36,37.25166216949492,35.76130230881979,UP,6.385449269943596,0.35675816724338033,80.0,5.1954477981197424,74.80455220188026,3.891261589259265,1,1,0
58,ENG,3.0053104848224996,1.3505336561349045e-71,7.131476501297727e-70,70.86949458845429,69.14682054448464,UP,3.0367069498499673,0.031396465027467464,40.0,0.4453240969816922,39.55467590301831,5.337490531535496,1,1,0
59,CD99,3.722129679276239,6.791180414156988e-57,2.88292266600978e-55,56.16805473193466,54.54016700734321,UP,3.811266698291525,0.08913701901528581,53.333333333333336,1.2370113805047007,52.09632195282863,4.373828113093895,1,1,0
60,RBPMS,4.993982200288345,1.3843676907013811e-41,4.473367239355955e-40,40.85874854511458,39.34936544712602,UP,5.21711968126622,0.2231374809778752,66.66666666666666,3.067788223651658,63.598878443014996,3.866066098463452,1,1,0
61,FBLN1,2.8213945127575726,4.854598438874281e-71,2.4442338651541435e-69,70.31384668810277,68.61185724299297,UP,2.8537843734026063,0.03238986064503353,40.0,0.4453240969816922,39.55467590301831,5.003655926667829,1,1,0
62,MYOF,2.764608909966421,6.0054636932142065e-71,2.9549611126838085e-69,70.2214534542678,68.5294482300646,UP,2.7977052259291337,0.03309631596271273,40.0,0.4453240969816922,39.55467590301831,4.8404931712846775,1,1,0
63,NDUFA4L2,4.694238421141774,3.7486350105302225e-42,1.229665878454232e-40,41.42612684302185,39.910212877874336,UP,4.8720593694786825,0.1778209483369082,60.0,2.4245423057892133,57.57545769421078,3.9999762193960304,1,1,0
64,ZIC1,6.525092640650898,8.771685602742377e-29,2.0420106806384133e-27,28.05691694282227,26.68994199068682,UP,7.222170639058711,0.6970779984078134,93.33333333333333,9.74764967837704,83.58568365495628,3.0610496697899325,1,1,0
65,EDNRA,4.356993600368662,1.6460963964145507e-41,5.240880438584562e-40,40.783544735827824,39.28059574784468,UP,4.526830776819746,0.16983717645108398,60.0,2.4245423057892133,57.57545769421078,3.8856024578906156,1,1,0
66,CDH6,6.307969243117562,1.4948829194745156e-28,3.443001617725879e-27,27.82539282032772,26.463062773238033,UP,6.914482143938719,0.6065129008211576,86.66666666666667,8.560118753092528,78.10654791357415,3.1588632632825746,1,1,0
67,DCN,5.4138010414775986,6.202742649526753e-32,1.637675345881149e-30,31.207416237246928,29.785772188941262,UP,5.7872842123211266,0.37348317084352783,73.33333333333333,4.997525977238991,68.33580735609434,3.270717465586892,1,1,0
68,EPAS1,5.546527636187713,1.855341998750006e-30,4.725665208580898e-29,29.731576024334725,28.32553704935963,UP,5.928868508158691,0.3823408719709775,73.33333333333333,5.591291439881247,67.74204189345208,3.467306890244747,1,1,0
69,SYNE2,5.984314793564561,4.798072561270858e-28,1.0934554837001482e-26,27.31893318848131,25.961198893080773,UP,6.5849259621234495,0.600611168558888,86.66666666666667,8.362196932211777,78.3044697344549,2.987048574441551,1,1,0
70,COL6A2,2.869691720451401,3.2439640012866454e-53,1.3251286910916202e-51,52.488923973859556,50.87774194277097,UP,2.9224624658235596,0.05277074537215829,40.0,0.6927263730826323,39.307273626917365,4.108520836212137,1,1,0
71,ADAMTS9-AS2,7.101372242944313,3.620062200430525e-22,7.124940603574625e-21,21.44128396729234,20.14721875176118,UP,8.158160397437067,1.0567881544927535,93.33333333333333,14.101929737753588,79.23140359557974,2.7113781617263597,1,1,0
72,RHOJ,5.00032331197335,1.1049413668215415e-29,2.657997843520708e-28,28.956660766993775,27.575445375743715,UP,5.322455222025625,0.3221319100522748,66.66666666666666,4.651162790697675,62.01550387596898,3.3507494297206337,1,1,0
73,TRPC4,6.059144635172373,8.836675583128705e-25,1.894198280937985e-23,24.053711088770616,22.722574561863873,UP,6.743465977042862,0.6843213418704887,86.66666666666667,9.5002474022761,77.16641926439057,2.850075652399039,1,1,0
74,RFTN1,3.842205222175165,5.837108126769658e-37,1.755185985341154e-35,36.23380226173105,34.755676857472935,UP,3.996058850217286,0.15385362804212124,53.333333333333336,2.127659574468085,51.20567375886525,3.5253187264379444,1,1,0
